srcStateName,Class Studying,Schools surveyed,srcDistrictName,Students surveyed,srcYear,Average performance of students on learning outcome E302 EVS,Average performance of students on learning outcome E303 EVS,Average performance of students on learning outcome E304 EVS,Average performance of students on learning outcome E305 EVS,Average performance of students on learning outcome E307 EVS,Average performance of students on learning outcome E309 EVS,Average performance of students on learning outcome E310 EVS,Average performance of students on learning outcome E311 EVS,Average performance of students on learning outcome E313 EVS,Average performance of students on learning outcome E314 EVS,Average performance of students on learning outcome L304 Language,Average performance of students on learning outcome L312 Language,Average performance of students on learning outcome M301 Mathematics,Average performance of students on learning outcome M302 Mathematics,Average performance of students on learning outcome M303 Mathematics,Average performance of students on learning outcome M304 Mathematics,Average performance of students on learning outcome M305 Mathematics,Average performance of students on learning outcome M306 Mathematics,Average performance of students on learning outcome M309 Mathematics,Average performance of students on learning outcome M311 Mathematics,Average performance of students on learning outcome M312 Mathematics,Average performance of students on learning outcome M317 Mathematics,Average performance of students on learning outcome M318 Mathematics,Average performance of students on learning outcome M319 Mathematics,YearCode,Year
Odisha,3,61,Khordha,971,2017,53.04,54.39,58.83,65.86,68.24,59.23,68.8,40.78,45.61,83.42,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,3,59,Khowai,810,2017,43.58,68.36,65.74,65.99,72.01,52.27,58.52,60.62,41.79,72.1,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,60,Khunti,961,2017,47.97,55.44,67.44,68.52,66.27,56.99,70.45,54.63,35.69,79.5,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,3,60,Kinnaur,326,2017,58.9,62.84,70.39,76.69,72.42,58.43,69.94,44.48,49.32,87.12,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,3,46,Kiphire,359,2017,58.5,70.34,67.24,70.06,72.77,56.07,59.61,38.72,27.59,70.47,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,46,Kishanganj,963,2017,43.82,48.24,55.57,60.59,59.22,49.79,57.32,42.99,30.64,61.79,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jammu And Kashmir,3,61,Kishtwar,392,2017,47.19,48.97,49.6,60.33,56.44,51.01,46.94,36.22,20.62,53.57,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,3,61,Koch Bihar,1069,2017,66.23,83.56,75.09,78.44,79.49,71.38,75.02,72.22,61.12,83.63,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,59,Kodagu,965,2017,67.15,57.83,62.64,70.83,72.67,67.08,72.64,61.76,40.71,78.86,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,61,Kodarma,1171,2017,55,58.29,65.53,65.07,68.07,55.12,71.05,52.26,29.06,71.14,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,3,41,Kohima,499,2017,44.09,51.25,54.96,59.82,60.29,43.24,48.9,40.68,27.5,68.54,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,59,Kokrajhar,853,2017,66,75.47,74.27,77.9,78.24,74.36,77.37,68.23,41.51,81.59,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,58,Kolar,761,2017,64.65,57.6,65.69,73.46,72.54,58.29,74.64,60.71,42.67,78.45,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,3,56,Kolasib,569,2017,68.01,84.59,83.01,74.52,85.51,67.24,86.99,72.93,62.37,86.64,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Kolhapur,1407,2017,68.87,66.43,73.72,76.58,81.46,70.01,77.97,54.3,41.29,94.1,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,3,59,Kolkata,1011,2017,72.7,85.47,78.69,83.23,83.09,72.75,79.72,73.1,59.85,89.52,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,3,61,Kollam,1114,2017,76.21,69.91,79.08,85.91,84.88,74.17,78.46,74.96,59.82,86.18,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,60,Komaram Bheem,714,2017,42.3,41.71,59.54,63.8,60.67,49.45,59.8,53.92,27.71,64.71,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,60,Kondagaon,704,2017,42.47,52.51,59.24,63,59.96,56.44,60.94,48.86,22.42,67.61,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,60,Koppal,1458,2017,66.6,65.93,67.97,76.78,75,70.38,77.91,60.91,54.29,81.41,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,26,Koraput,668,2017,33.38,36.69,42.46,44.16,46.49,42.12,40.57,40.12,30.18,47.9,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,61,Korba,793,2017,52.33,67.8,67.39,71.69,65.03,65.45,71,55.61,41.36,81.34,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,44,Koriya,536,2017,39.93,54.92,57.68,55.6,54.02,49.26,60.63,45.71,23.11,55.97,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Kota,980,2017,70.31,74.28,75.06,79.64,78.32,71.66,80.1,68.37,44.24,81.84,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,3,61,Kottayam,1161,2017,80.71,58.89,74.86,86.52,82.92,59.45,70.46,71.58,49.83,83.72,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,3,61,Kozhikode,1302,2017,78.34,70.75,76.1,82.33,81.75,56.55,71.35,72.73,61.56,88.33,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,3,57,Kra Daadi,382,2017,42.93,43.89,54.98,60.99,61.73,54.46,47.12,42.41,32.22,57.33,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,3,61,Krishna,839,2017,66.63,73.79,66.91,84.27,83.06,69.79,79.26,73.18,39.32,86.29,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jammu And Kashmir,3,59,Kulgam,223,2017,61.43,57.28,75.68,75.34,77.11,68.33,65.92,50.67,38.83,72.2,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,60,Aurangabad (bihar),1188,2017,,,,,,,,,,,70.44,66.23,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,3,61,Kullu,605,2017,46.12,60.68,59.26,64.88,62.3,37.42,57.02,38.84,32.88,77.36,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jammu And Kashmir,3,41,Kupwara,360,2017,56.67,62.92,69.04,70.83,66.33,68.13,60,46.39,32.02,64.44,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,3,61,Kurnool,1076,2017,60.13,62,58.76,73.47,71.1,59.23,69.24,63.1,48.77,76.86,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,3,61,Kurukshetra,852,2017,49.06,55.89,62.46,61.27,58.14,40.1,61.15,47.54,27.25,73.24,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,3,45,Kurung Kumey,374,2017,51.34,53.53,61.64,67.25,67.21,62.75,52.67,45.72,36.47,62.83,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,57,Kushinagar,881,2017,51.53,55.15,59.76,61.52,58.53,58.33,58.8,51.08,22.43,66.06,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,3,10,Lahul & Spiti,34,2017,41.18,46.15,58.39,69.12,60.91,38.1,70.59,38.24,23.08,85.29,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,60,Lakhimpur,920,2017,63.37,70.41,69.9,77.5,76.4,62.8,76.96,61.2,40.39,79.46,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,61,Lakhisarai,1363,2017,64.34,74.52,69.56,74.17,72.35,67.44,79.53,56.49,33.33,77.04,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Lakshadweep,3,33,Lakshadweep,928,2017,59.91,37.23,48.97,60.45,63.74,39.91,37.07,49.03,38.53,65.63,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,60,Lalitpur,1031,2017,56.16,62.55,62.43,64.74,65.91,54.32,71.39,53.44,25.69,62.37,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,61,Latehar,902,2017,57.76,53.13,63.31,64.41,65.67,57.93,67.63,48.78,28.57,67.52,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Latur,1442,2017,61.51,70.34,73.61,67.48,73.89,71.57,74.83,52.5,34.29,84.6,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,3,56,Lawngtlai,572,2017,48.43,55.87,56.71,58.74,60.02,41.24,57.17,38.99,26.69,57.52,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jammu And Kashmir,3,13,Leh (ladakh),81,2017,53.09,57.5,54.12,66.05,69.67,39.02,39.51,25.93,15,59.26,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,60,Lohardaga,1072,2017,47.67,50.64,62.74,65.21,65.02,57.28,61.66,50.65,30.94,68,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,3,48,Lohit,616,2017,45.62,48.47,56.76,56.82,56.3,47.98,44.32,41.72,29.83,59.58,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,3,56,Longding,902,2017,38.91,39.46,47.62,45.73,46.88,43.6,36.47,34.26,29.93,45.34,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,3,37,Longleng,236,2017,47.88,48.25,56.05,53.6,57.54,50,43.64,34.75,34.21,55.93,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,3,49,Lower Dibang Valley,731,2017,38.85,43.85,45.76,45.35,47.42,46.11,38.85,39.12,25.14,38.71,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,3,55,Lower Subansiri,354,2017,40.96,36,52.55,58.62,56.85,43.58,38.7,40.68,38.29,55.37,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Lucknow,1042,2017,54.03,51.63,58.29,58.97,55.76,43.76,63.63,48.75,29.94,66.22,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,60,Ludhiana,1005,2017,45.27,47.49,50.08,52.99,41.63,41.7,51.94,32.64,23.25,61.89,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,3,50,Lunglei,488,2017,53.48,65.43,67.2,65.68,71.35,55.1,72.34,53.89,46.91,70.7,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,61,Madhepura,1297,2017,58.75,66.57,65.98,69.24,68.6,64.31,75.87,51.12,34.19,72.94,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,61,Madhubani,1401,2017,50.46,56.47,61.08,63.78,65.5,51.21,63.45,45.54,24.57,66.81,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,3,61,Madurai,1068,2017,54.68,45.82,60.88,72.43,63.66,54.8,57.21,52.06,36.88,80.15,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,58,Mahabubabad,710,2017,49.3,48.28,67.31,72.82,65.21,60.22,65.35,60.56,29.02,70.28,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,61,Mahabubnagar,1091,2017,48.49,42.44,66.52,69.84,67.48,57.56,62.51,58.75,37.89,73.14,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Maharajganj,1007,2017,50.35,31.75,42.34,50.7,47.45,48.85,51.24,46.77,29.69,35.75,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,58,Mahasamund,881,2017,44.04,45.03,56.23,53.58,53.84,47.1,58.12,41.88,29.33,64.59,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Puducherry,3,10,Mahe,210,2017,58.1,34.65,49.95,68.1,70.85,28.44,27.62,28.1,34.65,67.62,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,3,54,Mahendragarh,645,2017,55.04,64.35,66.62,67.98,65.72,53.96,69.61,50.85,37.22,78.91,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Mahesana,1324,2017,58.69,76.3,74.71,74.4,78.5,66.77,74.32,61.56,41.88,82.85,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Mahisagar,961,2017,56.5,66.81,69.3,71.44,78.45,62.86,75.13,51.51,32.78,77.94,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Mahoba,1101,2017,65.94,62.43,40.56,51.91,55.72,54.98,72.66,58.95,44.36,55.4,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,58,Mainpuri,763,2017,56.88,59.64,61.82,63.11,66.81,57.78,67.1,52.29,32.81,66.45,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,3,61,Malappuram,1357,2017,77.67,49.5,72.12,82.02,80.33,60.67,66.18,67.43,48.22,84.52,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,3,60,Maldah,1281,2017,53.94,71.79,70.86,74.75,74.74,64.39,65.96,66.98,49.84,76.89,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,46,Malkangiri,892,2017,50,53.18,57.14,59.3,66.26,54.87,57.4,53.25,37.05,72.53,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,3,52,Mamit,586,2017,59.73,70,70.99,62.8,71.26,50.68,74.06,60.58,46.9,72.18,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,60,Mancherial,591,2017,61.59,46.53,73,77.24,78.3,61.06,76.14,64.64,44.1,83.76,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,3,60,Mandi,520,2017,64.42,72.95,72.03,79.81,75.94,57.97,78.65,53.85,48.77,90.38,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,60,Mandla,616,2017,57.31,59.87,66.04,69.16,67.24,54.81,71.27,59.74,35.86,74.68,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Mandsaur,829,2017,53.68,68.28,66.61,69.06,66.67,58.17,70.69,53.44,39.23,75.03,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,59,Mandya,836,2017,69.14,61.4,69.65,78.29,73.61,64.99,79.67,64,44.36,83.85,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Mathura,968,2017,71.07,72.54,73.56,74.59,77.48,65.58,80.37,70.14,35.64,78.72,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,59,Mau,1160,2017,48.79,50.78,35.71,42.28,41.74,47.29,47.93,42.41,30.75,26.72,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,61,Mayurbhanj,934,2017,33.62,50.11,48.61,49.73,52.74,42.89,46.68,41.65,36.93,59.1,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,61,Medak,819,2017,45.54,55.47,65.83,68.07,63.08,54.66,62.52,59.83,34.31,68.5,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,3,61,Hisar,1082,2017,,,,,,,,,,,65.56,61.24,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,61,Medchal-malkajgiri,1197,2017,51.46,58.77,73.34,77.49,73.1,60.16,69.59,65.33,50.09,78.28,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Meerut,1172,2017,67.58,75,74.18,75.34,76.07,60.6,81.14,64.16,46.13,83.96,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,3,61,Mewat,1446,2017,39.21,48.82,50.42,52.63,46.06,36.1,54.91,38.87,18.4,58.37,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Andaman & Nicobar Islands,3,70,Middle And North Andamans,507,2017,56.21,54.66,64.92,70.12,68.58,64.23,63.12,62.52,41.7,74.75,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Mirzapur,1215,2017,34.65,25.33,15.62,12.47,21.17,27.8,28.48,30.86,13.5,11.11,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,61,Moga,1015,2017,53.4,60.85,61.08,65.71,48.8,52.3,55.17,38.23,32.45,73,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,60,Mohali,1091,2017,41.43,44.23,54.34,54.35,40.99,29.72,49.4,36.85,22.68,62.05,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,3,54,Mokokchung,439,2017,66.06,73.66,76.52,79.95,86.42,60.08,77.22,66.74,50,80.87,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,3,55,Mon,808,2017,47.28,53.3,55.21,56.31,58.18,49.52,45.17,31.06,29.7,61.01,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Morbi,1356,2017,47.2,65.62,67.55,64.49,68.14,54.44,66.37,52.51,39.61,75.15,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,59,Morena,915,2017,58.58,66.15,64.54,66.78,65.42,56.37,67.87,57.38,30.09,74.21,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,61,Morigaon,1144,2017,70.98,81.16,74.01,78.72,79.42,75.87,79.2,59.79,45.25,80.86,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,61,Muktsar,989,2017,41.86,48.89,49.61,50.05,39.06,35.57,44.08,31.65,20.72,55.21,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Mumbai (suburban),1516,2017,53.83,61.84,61.88,66.89,66.51,53.02,59.43,47.1,25.17,76.52,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,61,Mungeli,1269,2017,57.29,55.89,67.2,66.23,66.65,57.25,68.09,56.97,31.69,75.26,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,55,Munger,1038,2017,52.99,62.23,63.99,68.64,69.58,56.93,72.83,52.02,33.07,69.85,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,3,61,Murshidabad,1335,2017,57.68,72.51,69.22,72.92,72.53,65.71,62.62,63.07,43.09,75.88,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,60,Muza?arnagar,922,2017,49.02,48.32,27.65,35.9,39.02,39.85,61.28,50.33,28.2,22.89,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,61,Muza?arpur,1309,2017,55.46,61,65.63,67,68.27,63.38,70.36,47.14,27.62,72.27,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Mysuru,1138,2017,66.43,59.96,67.29,78.34,74.3,70.66,78.56,61.16,42.88,84.36,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,27,Nabarangpur,635,2017,57.17,66.02,59.88,63.46,63.11,65.95,61.73,51.97,40.13,66.77,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,3,61,Nadia,1153,2017,58.46,79.28,74.29,76.67,77.12,60.81,69.64,67.04,57.53,80.31,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,59,Nagaon,1220,2017,71.48,88.74,79.8,85.86,85.7,77.76,87.13,70.66,61.59,88.61,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,3,61,Nagapattinam,840,2017,58.81,47.67,61.85,71.73,66.36,62.93,63.93,55.71,36.74,78.21,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,61,Nagarkurnool,922,2017,49.57,43.24,64.79,67.62,66.86,56.49,61.61,58.79,40.54,71.58,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Nagaur,1099,2017,73.61,76.34,77.48,80.12,82.02,72.58,83.62,67.24,54.71,86.44,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Nagpur,1311,2017,56.98,68.8,69.68,67.85,72.86,59.56,70.25,62.01,34.03,77.57,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,3,59,Nainital,876,2017,63.01,67.28,67.78,71.86,69.8,54.98,75.57,58.79,32.95,79.11,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,58,Nalanda,1127,2017,60.78,64.8,65.49,74.36,67.62,58.81,77.37,54.84,38.45,72.32,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,60,Nalbari,889,2017,67.27,77.73,74.79,78.85,78.8,72.16,83.58,67.94,39.34,83.69,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,58,Nalgonda,776,2017,56.7,42.57,71.81,79.51,76.75,65.17,71.26,63.79,47.61,81.57,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,3,61,Namakkal,921,2017,60.91,46.83,58.73,69.65,61.91,58.19,53.31,51.57,29.54,67.32,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,3,61,Namsai,714,2017,34.59,43.93,48.84,46.01,46.58,42.93,42.3,37.39,26.3,41.6,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Nanded,1248,2017,59.05,70.06,71.6,68.63,74.84,67.67,73.8,62.18,37.35,83.41,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Nandurbar,1277,2017,54.58,61.61,66.29,60.42,68.15,62.78,61.39,52.94,39.91,73.14,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Bareilly,1097,2017,,,,,,,,,,,62.8,64.7,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,53,Narayanpur,572,2017,47.55,51.22,63.65,67.48,68.96,56.84,70.28,55.07,28.92,75,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Narmada,918,2017,43.79,58.41,61.3,60.62,67.45,56.87,63.4,49.56,36.28,67.97,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,60,Narsimhapur,732,2017,72.95,74.44,76.22,80.53,81.11,66.67,82.24,72.68,53.06,87.16,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Nashik,1457,2017,57.04,63.71,66.44,61.91,70.63,61.46,63.35,52.37,34.79,75.91,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Navsari,1192,2017,55.45,62.59,70.46,70.47,75.86,53.76,66.86,51.09,39.14,84.82,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,61,Nawada,1179,2017,60.73,64.86,71.55,71.12,75.4,64.91,75.23,48.6,35.47,77.1,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,61,Nawanshahr,822,2017,55.96,63.71,64.01,67.58,54.56,60.28,64.84,49.64,31.47,75.79,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,59,Nayagarh,787,2017,59.97,67.71,63.05,69.7,76.43,69.98,72.17,58.96,50.78,83.48,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Neemuch,644,2017,61.96,72.39,68.19,70.19,72.05,59.94,73.45,57.61,32.66,77.33,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,3,61,Nellore,670,2017,61.04,79.57,63.03,80.15,77.52,69.01,80.45,74.93,59.45,85.67,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,3,56,New Delhi,1462,2017,51.64,48.43,61.06,66.89,63.09,50.89,58.76,50.68,32.83,69.15,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Andaman & Nicobar Islands,3,40,Nicobars,343,2017,53.94,65.45,65.71,70.99,66.12,50.56,60.93,45.77,38.18,73.18,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,60,Nirmal,813,2017,53.87,58.72,71.25,75.71,77.19,69.7,70.23,58.06,41.77,78.35,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,61,Nizamabad,882,2017,48.53,64.61,68.42,71.37,71.78,62.04,68.14,60.88,41.09,78.12,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,3,58,North Delhi,1186,2017,49.24,59.76,60.04,59.02,56.64,55.24,59.27,48.82,27.61,64,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,3,58,North East Delhi,1031,2017,46.46,53.44,56.46,57.52,52.12,41.34,56.16,48.21,28.08,63.63,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,3,60,North Garo Hills,561,2017,43.85,43.21,53.09,56.33,61.58,29.54,50.09,44.92,40.71,62.39,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
